id;usuario_id;empresa_id;field_average;field_max;field_min;start_time;end_time
75fe4e75-90aa-4c19-898a-e79734ecaa34;Acero Extremadura;Producto;62819;5777;75047;2023-03-24T08:47:04;2023-03-24T12:51:25
339138dc-43b7-458f-96ee-30dcf465419f;up;end-to-end bandwidth Director;14820;76899;78916;2023-03-24T12:33:28;2023-03-24T08:34:42
feaa8b17-6483-4aae-8b1c-2ec4f6407974;viral de;Parafarmacia Rand HDD;14351;66204;90543;2023-03-24T03:21:53;2023-03-24T04:48:58
2e45a434-2464-4ac0-b48c-f6638d436842;Bulgaria invoice Rústico;Interfaz enfoque;37877;99436;97618;2023-03-24T00:49:58;2023-03-23T15:03:43
3e73d087-1c66-4e16-b23a-761e750f1f49;Respuesta;alarm;16769;85688;34254;2023-03-23T19:41:43;2023-03-24T08:16:49
0577cbfe-695d-40cf-8368-35ca9a789e10;Brasil;sensor Increible Ergonómico;67464;47237;31101;2023-03-24T13:22:55;2023-03-24T00:13:27
a2efa2fc-661f-412e-a165-f29dd70f68c2;payment;monitor Buckinghamshire;54770;86373;94867;2023-03-23T18:21:03;2023-03-24T00:54:47
7e1fd628-7092-43ab-8bf7-0eba41680d3c;Identidad;withdrawal;27994;29704;84419;2023-03-23T15:32:43;2023-03-23T23:51:07
b0c3b23b-8e8a-48dd-879e-612079bc89bf;CSS Negro compress;Representante Account;68202;85279;24919;2023-03-23T16:51:45;2023-03-24T02:27:23
85eb0b5f-44fc-4549-927e-7f908b5ae0af;base;Parafarmacia;13046;4802;66362;2023-03-23T20:59:36;2023-03-24T03:12:20
