id;usuario_id;empresa_id;field_average;field_max;field_min;start_time;end_time
f5572b64-e598-4d69-a520-2208b42b2e8f;e-enable Comunicaciones;back-end;81409;43870;4041;2023-03-23T18:55:54;2023-03-24T03:59:33
7cfcd8a9-1714-4513-92c1-7bf937b8a045;harness target generate;repurpose;85929;9770;59251;2023-03-23T20:39:00;2023-03-24T01:27:40
d638e2fa-a8f8-4c28-942f-0369e07ac575;secundaria;Productor;45591;85028;33535;2023-03-24T08:47:10;2023-03-24T12:45:32
d69d4416-c9f3-4567-a783-5ddec4526cd9;heurística Jefe;Coche;43524;3536;41631;2023-03-24T10:27:14;2023-03-23T15:05:22
7b3dbd41-7e15-45a5-b7c8-593b49c23dda;hacking Auto integrate;eyeballs;44879;93564;95908;2023-03-23T15:19:14;2023-03-24T07:29:08
a9b57177-1e3f-45f5-9f89-03a3dcd1a3a6;Account;Investment Calleja;60749;60186;73180;2023-03-23T16:18:48;2023-03-23T22:16:59
bed9b3d2-d3e3-4752-9f73-6a1545ba4746;mindshare;Avon Supervisor en;84640;57776;7627;2023-03-24T07:26:39;2023-03-23T22:05:23
044bcedd-3488-495d-8300-6ea284ee046a;Account Sorprendente;back-end;95685;43959;28245;2023-03-24T00:13:38;2023-03-23T17:35:23
9d39c4ce-cd43-4535-9027-c187a03cc81a;Mascotas;navigating Cine;22398;70158;64322;2023-03-24T07:40:43;2023-03-23T23:19:40
9020864d-36a8-4811-b10a-e48801e33220;Artesanal Account Cantabria;interface;58070;98369;27225;2023-03-23T23:46:37;2023-03-24T13:50:37
