id;usuario_id;empresa_id;field_average;field_max;field_min;start_time;end_time
1a51b381-979e-46fd-bd97-3c69461c7e01;Borders;iterate Guantes;76085;3627;99826;2023-03-23T18:56:42;2023-03-23T19:42:39
fbde1404-7e7c-4e2a-833d-8d35ed0aa50b;content Lado;Optimización;71143;26342;1745;2023-03-23T17:12:20;2023-03-23T14:26:09
67d72a79-8e60-4f0b-8b83-8d92ed4e399d;Borders;Seguro Mónaco;8694;89018;98937;2023-03-23T15:52:39;2023-03-24T06:26:10
1b3b43a4-2f08-4161-98a3-a96a4c495dca;incubate Facilitador Acero;Desarrollador;6549;96752;55572;2023-03-24T08:26:21;2023-03-23T15:40:51
3ed1f979-0be6-477e-b55d-234b8c5f47d4;hacking;BEAC;50117;35643;67443;2023-03-24T12:16:10;2023-03-24T06:53:44
7f3d4d26-6745-4a91-a894-da2c9cb9d22c;XSS complejidad;neural FTP local;37142;27389;89625;2023-03-24T02:50:38;2023-03-24T08:13:28
f4634b30-4636-4998-9177-edc9650298ad;Pelota program;Sopa Urbanización Berkshire;60674;69854;81985;2023-03-23T16:44:26;2023-03-24T08:19:15
922e50e1-715c-4fc1-a68f-0b56473bfb51;AGP Account withdrawal;Mascotas system 24/7;50767;75652;30989;2023-03-23T16:45:00;2023-03-24T04:13:12
253d67c1-70ea-4073-80e4-c83724a3ef17;enterprise Loan;connecting parsing;68929;37651;68973;2023-03-24T13:53:38;2023-03-23T18:58:26
2d917a74-81ef-491a-8f7a-c17c8b5d44e1;transmitting bandwidth hack;Borders;39839;86166;48912;2023-03-23T17:23:02;2023-03-24T11:48:03
